UID;eStateEval;duration;activeSample;mUraw;mUoffset;mU;mUconfidence;transCorrMean;AssayType;Notes;TempDataLog;TempCH3;TransHigh;SamTrans;SamFluor
1758607819;0;391.97003;1;10.886205;3.411693;7.4745116;0.99966604;0.8270553;300;Tartu;36.06;25.26;0.0;2.8663;0.5451
1758611420;0;392.00403;1;11.373396;3.411693;7.961703;0.9996827;0.82675344;300;Tartu;36.94;25.08;0.0;2.8619;0.5431
1758615019;0;391.99902;1;10.897899;3.411693;7.4862056;0.99990886;0.8272067;300;Tartu;38.06;24.46;0.0;2.8653;0.5419
1758618620;0;391.99805;1;10.751257;3.411693;7.339564;0.9998777;0.8273165;300;Tartu;38.88;23.83;0.0;2.8645;0.5417
1758622221;0;392.002;1;10.082273;3.411693;6.6705794;0.99988747;0.8268444;300;Tartu;39.19;23.49;0.0;2.8638;0.5383
1758625820;0;391.99103;1;10.039774;3.411693;6.628081;0.99969083;0.8280533;300;Tartu;33.63;23.05;0.0;2.8664;0.5436
1758627404;0;392.02698;0;3.2718918;0.0;3.2718918;0.99947226;0.974957;300;;34.13;24.29;0.0;0.0;0.0
1758629420;0;391.99097;1;9.391933;3.2718918;6.120042;0.99843925;0.82651734;300;Tartu;28.38;24.94;0.0;2.8733;0.5483
1758633021;0;391.99304;1;8.085655;3.2718918;4.8137636;0.9993538;0.82716686;300;Tartu;33.13;27.43;0.0;2.8673;0.5462
1758636619;0;391.992;1;8.987542;3.2718918;5.7156506;0.9995398;0.8239074;300;Tartu;34.69;27.04;0.0;2.8641;0.5443
1758640220;0;392.01898;1;7.704945;3.2718918;4.433053;0.99968594;0.8266809;300;Tartu;35.19;26.66;0.0;2.8584;0.5445
1758643821;0;391.99597;1;7.774522;3.2718918;4.50263;0.9996428;0.82551557;300;Tartu;35.19;26.36;0.0;2.8539;0.5439
1758647419;0;392.023;1;7.789521;3.2718918;4.5176296;0.99964786;0.82522094;300;Tartu;35.0;26.44;0.0;2.8526;0.5465
1758651020;0;392.01593;1;7.9784894;3.2718918;4.7065973;0.9995327;0.82540995;300;Tartu;35.13;26.55;0.0;2.8579;0.5481
1758654621;0;392.02295;1;8.310443;3.2718918;5.0385513;0.99926376;0.82519394;300;Tartu;34.88;26.6;0.0;2.8517;0.5506
1758658220;0;392.03595;1;8.618644;3.2718918;5.346752;0.99938893;0.8250042;300;Tartu;34.44;26.67;0.0;2.8555;0.5493
1758661820;0;392.03497;1;8.68131;3.2718918;5.409418;0.99919796;0.8249603;300;Tartu;34.25;26.79;0.0;2.8512;0.5498
1758665421;0;391.99396;1;9.086198;3.2718918;5.8143063;0.9992193;0.8242591;300;Tartu;33.81;27.07;0.0;2.8468;0.5526
1758669020;0;391.99396;1;8.807681;3.2718918;5.5357895;0.9993076;0.8249762;300;Tartu;33.38;27.31;0.0;2.85965;0.55254996
1758672620;0;391.99194;1;8.927715;3.2718918;5.6558237;0.99923974;0.82433754;300;Tartu;32.94;27.46;0.0;2.8448;0.5517
1758676221;0;391.992;1;9.054157;3.2718918;5.7822657;0.9994443;0.824196;300;Tartu;32.56;27.64;0.0;2.8401;0.5524
1758679820;0;391.99603;1;9.261924;3.2718918;5.990032;0.99899715;0.82401824;300;Tartu;32.31;27.88;0.0;2.8451;0.5519
1758683420;0;391.99603;1;9.483573;3.2718918;6.2116814;0.9994792;0.8232024;300;Tartu;32.19;27.83;0.0;2.83925;0.55345
1758687021;0;391.99603;1;9.77452;3.2718918;6.5026283;0.9991156;0.8218027;300;Tartu;32.06;27.9;0.0;2.8252;0.5546
1758690619;0;391.99298;1;10.184434;3.2718918;6.9125423;0.99895084;0.8207213;300;Tartu;32.0;28.04;0.0;2.8221;0.5558
1758694222;0;391.99597;1;10.118417;3.2718918;6.846525;0.9992252;0.819954;300;Tartu;32.75;28.14;0.0;2.8187;0.5539
